1956	0.882	0.882	0.882	0.882	0.882	0.882	0.882	0.882	0.882	0.882	0.882	0.882
1957	1.159	1.159	1.159	1.159	1.159	1.159	1.159	1.159	1.159	1.159	1.159	1.159
1958	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018
1959	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945
1960	0.871	0.871	0.871	0.871	0.871	0.871	0.871	0.871	0.871	0.871	0.871	0.871
1961	0.884	0.884	0.884	0.884	0.884	0.884	0.884	0.884	0.884	0.884	0.884	0.884
1962	0.939	0.939	0.939	0.939	0.939	0.939	0.939	0.939	0.939	0.939	0.939	0.939
1963	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
1964	1.267	1.267	1.267	1.267	1.267	1.267	1.267	1.267	1.267	1.267	1.267	1.267
1965	1.114	1.114	1.114	1.114	1.114	1.114	1.114	1.114	1.114	1.114	1.114	1.114
1966	0.853	0.853	0.853	0.853	0.853	0.853	0.853	0.853	0.853	0.853	0.853	0.853
1967	0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805
1968	0.893	0.893	0.893	0.893	0.893	0.893	0.893	0.893	0.893	0.893	0.893	0.893
1969	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
1970	1.342	1.342	1.342	1.342	1.342	1.342	1.342	1.342	1.342	1.342	1.342	1.342
1971	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058
1972	0.848	0.848	0.848	0.848	0.848	0.848	0.848	0.848	0.848	0.848	0.848	0.848
1973	0.809	0.809	0.809	0.809	0.809	0.809	0.809	0.809	0.809	0.809	0.809	0.809
1974	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934
1975	0.944	0.944	0.944	0.944	0.944	0.944	0.944	0.944	0.944	0.944	0.944	0.944
1976	1.109	1.109	1.109	1.109	1.109	1.109	1.109	1.109	1.109	1.109	1.109	1.109
1977	1.108	1.108	1.108	1.108	1.108	1.108	1.108	1.108	1.108	1.108	1.108	1.108
1978	0.901	0.901	0.901	0.901	0.901	0.901	0.901	0.901	0.901	0.901	0.901	0.901
1979	1.068	1.068	1.068	1.068	1.068	1.068	1.068	1.068	1.068	1.068	1.068	1.068
1980	0.862	0.862	0.862	0.862	0.862	0.862	0.862	0.862	0.862	0.862	0.862	0.862
1981	1.077	1.077	1.077	1.077	1.077	1.077	1.077	1.077	1.077	1.077	1.077	1.077
1982	0.754	0.754	0.754	0.754	0.754	0.754	0.754	0.754	0.754	0.754	0.754	0.754
1983	1.087	1.087	1.087	1.087	1.087	1.087	1.087	1.087	1.087	1.087	1.087	1.087
1984	1.249	1.249	1.249	1.249	1.249	1.249	1.249	1.249	1.249	1.249	1.249	1.249
1985	0.924	0.924	0.924	0.924	0.924	0.924	0.924	0.924	0.924	0.924	0.924	0.924
1986	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945	0.945
1987	0.896	0.896	0.896	0.896	0.896	0.896	0.896	0.896	0.896	0.896	0.896	0.896
1988	1.071	1.071	1.071	1.071	1.071	1.071	1.071	1.071	1.071	1.071	1.071	1.071
1989	0.948	0.948	0.948	0.948	0.948	0.948	0.948	0.948	0.948	0.948	0.948	0.948
1990	1.014	1.014	1.014	1.014	1.014	1.014	1.014	1.014	1.014	1.014	1.014	1.014
1991	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024
1992	1.088	1.088	1.088	1.088	1.088	1.088	1.088	1.088	1.088	1.088	1.088	1.088
1993	0.837	0.837	0.837	0.837	0.837	0.837	0.837	0.837	0.837	0.837	0.837	0.837
1994	1.193	1.193	1.193	1.193	1.193	1.193	1.193	1.193	1.193	1.193	1.193	1.193
1995	0.828	0.828	0.828	0.828	0.828	0.828	0.828	0.828	0.828	0.828	0.828	0.828
1996	1.001	1.001	1.001	1.001	1.001	1.001	1.001	1.001	1.001	1.001	1.001	1.001
1997	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053
1998	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016
1999	0.908	0.908	0.908	0.908	0.908	0.908	0.908	0.908	0.908	0.908	0.908	0.908
2000	0.947	0.947	0.947	0.947	0.947	0.947	0.947	0.947	0.947	0.947	0.947	0.947
2001	1.122	1.122	1.122	1.122	1.122	1.122	1.122	1.122	1.122	1.122	1.122	1.122
2002	0.944	0.944	0.944	0.944	0.944	0.944	0.944	0.944	0.944	0.944	0.944	0.944
2003	1.21	1.21	1.21	1.21	1.21	1.21	1.21	1.21	1.21	1.21	1.21	1.21
2004	0.826	0.826	0.826	0.826	0.826	0.826	0.826	0.826	0.826	0.826	0.826	0.826
2005	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01
2006	0.864	0.864	0.864	0.864	0.864	0.864	0.864	0.864	0.864	0.864	0.864	0.864
2007	1.083	1.083	1.083	1.083	1.083	1.083	1.083	1.083	1.083	1.083	1.083	1.083
2008	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054
2009	0.933	0.933	0.933	0.933	0.933	0.933	0.933	0.933	0.933	0.933	0.933	0.933
