' Year' 'J' 'F ' 'M' 'A' 'M' 'J' 'J' 'A' 'S' 'O' 'N' 'D'
1953 0.261 0.261 0.261 0.261 0.261 0.261 0.261 0.261 0.261 0.261 0.261 0.261
1954 0.427 0.427 0.427 0.427 0.427 0.427 0.427 0.427 0.427 0.427 0.427 0.427
1955 0.393 0.393 0.393 0.393 0.393 0.393 0.393 0.393 0.393 0.393 0.393 0.393
1956 0.352 0.352 0.352 0.352 0.352 0.352 0.352 0.352 0.352 0.352 0.352 0.352
1957 0.37 0.37 0.37 0.37 0.37 0.37 0.37 0.37 0.37 0.37 0.37 0.37
1958 0.333 0.333 0.333 0.333 0.333 0.333 0.333 0.333 0.333 0.333 0.333 0.333
1959 0.281 0.281 0.281 0.281 0.281 0.281 0.281 0.281 0.281 0.281 0.281 0.281
1960 0.452 0.452 0.452 0.452 0.452 0.452 0.452 0.452 0.452 0.452 0.452 0.452
1961 0.583 0.583 0.583 0.583 0.583 0.583 0.583 0.583 0.583 0.583 0.583 0.583
1962 0.54 0.54 0.54 0.54 0.54 0.54 0.54 0.54 0.54 0.54 0.54 0.54
1963 0.439 0.439 0.439 0.439 0.439 0.439 0.439 0.439 0.439 0.439 0.439 0.439
1964 0.715 0.715 0.715 0.715 0.715 0.715 0.715 0.715 0.715 0.715 0.715 0.715
1965 0.666 0.666 0.666 0.666 0.666 0.666 0.666 0.666 0.666 0.666 0.666 0.666
1966 0.578 0.578 0.578 0.578 0.578 0.578 0.578 0.578 0.578 0.578 0.578 0.578
1967 0.585 0.585 0.585 0.585 0.585 0.585 0.585 0.585 0.585 0.585 0.585 0.585
1968 1.353 1.353 1.353 1.353 1.353 1.353 1.353 1.353 1.353 1.353 1.353 1.353
1969 1.201 1.201 1.201 1.201 1.201 1.201 1.201 1.201 1.201 1.201 1.201 1.201
1970 1.567 1.567 1.567 1.567 1.567 1.567 1.567 1.567 1.567 1.567 1.567 1.567
1971 1.492 1.492 1.492 1.492 1.492 1.492 1.492 1.492 1.492 1.492 1.492 1.492
1972 1.484 1.484 1.484 1.484 1.484 1.484 1.484 1.484 1.484 1.484 1.484 1.484
1973 1.623 1.623 1.623 1.623 1.623 1.623 1.623 1.623 1.623 1.623 1.623 1.623
1974 1.82 1.82 1.82 1.82 1.82 1.82 1.82 1.82 1.82 1.82 1.82 1.82
1975 2.104 2.104 2.104 2.104 2.104 2.104 2.104 2.104 2.104 2.104 2.104 2.104
1976 2.346 2.346 2.346 2.346 2.346 2.346 2.346 2.346 2.346 2.346 2.346 2.346
1977 1.996 1.996 1.996 1.996 1.996 1.996 1.996 1.996 1.996 1.996 1.996 1.996
1978 2.001 2.001 2.001 2.001 2.001 2.001 2.001 2.001 2.001 2.001 2.001 2.001
1979 1.975 1.975 1.975 1.975 1.975 1.975 1.975 1.975 1.975 1.975 1.975 1.975
1980 1.825 1.825 1.825 1.825 1.825 1.825 1.825 1.825 1.825 1.825 1.825 1.825
1981 1.91 1.91 1.91 1.91 1.91 1.91 1.91 1.91 1.91 1.91 1.91 1.91
1982 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596
1983 1.722 1.722 1.722 1.722 1.722 1.722 1.722 1.722 1.722 1.722 1.722 1.722
1984 2.302 2.302 2.302 2.302 2.302 2.302 2.302 2.302 2.302 2.302 2.302 2.302
1985 1.508 1.508 1.508 1.508 1.508 1.508 1.508 1.508 1.508 1.508 1.508 1.508
1986 1.699 1.699 1.699 1.699 1.699 1.699 1.699 1.699 1.699 1.699 1.699 1.699
1987 1.517 1.517 1.517 1.517 1.517 1.517 1.517 1.517 1.517 1.517 1.517 1.517
1988 1.679 1.679 1.679 1.679 1.679 1.679 1.679 1.679 1.679 1.679 1.679 1.679
1989 1.831 1.831 1.831 1.831 1.831 1.831 1.831 1.831 1.831 1.831 1.831 1.831
1990 1.688 1.688 1.688 1.688 1.688 1.688 1.688 1.688 1.688 1.688 1.688 1.688
1991 1.655 1.655 1.655 1.655 1.655 1.655 1.655 1.655 1.655 1.655 1.655 1.655
1992 1.697 1.697 1.697 1.697 1.697 1.697 1.697 1.697 1.697 1.697 1.697 1.697
1993 1.51 1.51 1.51 1.51 1.51 1.51 1.51 1.51 1.51 1.51 1.51 1.51
1994 1.91 1.91 1.91 1.91 1.91 1.91 1.91 1.91 1.91 1.91 1.91 1.91
1995 1.517 1.517 1.517 1.517 1.517 1.517 1.517 1.517 1.517 1.517 1.517 1.517
1996 1.544 1.544 1.544 1.544 1.544 1.544 1.544 1.544 1.544 1.544 1.544 1.544
1997 1.455 1.455 1.455 1.455 1.455 1.455 1.455 1.455 1.455 1.455 1.455 1.455
1998 1.209 1.209 1.209 1.209 1.209 1.209 1.209 1.209 1.209 1.209 1.209 1.209
1999 0.869 0.869 0.869 0.869 0.869 0.869 0.869 0.869 0.869 0.869 0.869 0.869
2000 1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.22
2001 1.116 1.116 1.116 1.116 1.116 1.116 1.116 1.116 1.116 1.116 1.116 1.116
2002 0.831 0.831 0.831 0.831 0.831 0.831 0.831 0.831 0.831 0.831 0.831 0.831
2003 1.296 1.296 1.296 1.296 1.296 1.296 1.296 1.296 1.296 1.296 1.296 1.296
2004 1.004 1.004 1.004 1.004 1.004 1.004 1.004 1.004 1.004 1.004 1.004 1.004
2005 1.212 1.212 1.212 1.212 1.212 1.212 1.212 1.212 1.212 1.212 1.212 1.212
2006 0.973 0.973 0.973 0.973 0.973 0.973 0.973 0.973 0.973 0.973 0.973 0.973
2007 1.147 1.147 1.147 1.147 1.147 1.147 1.147 1.147 1.147 1.147 1.147 1.147
2008 1.101 1.101 1.101 1.101 1.101 1.101 1.101 1.101 1.101 1.101 1.101 1.101
2009 1.113 1.113 1.113 1.113 1.113 1.113 1.113 1.113 1.113 1.113 1.113 1.113
2010 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828
